Parametro,Fecha,Hora,Concentraciones horarias,Unidad
PM2.5,2024-02-11,5:00 - 6:00,18,µg/m³
PM2.5,2024-02-11,6:00 - 7:00,19,µg/m³
PM2.5,2024-02-11,7:00 - 8:00,19,µg/m³
PM2.5,2024-02-11,8:00 - 9:00,19,µg/m³
PM2.5,2024-02-11,9:00 - 10:00,19,µg/m³
PM2.5,2024-02-11,10:00 - 11:00,21,µg/m³
PM2.5,2024-02-11,11:00 - 12:00,21,µg/m³
PM2.5,2024-02-11,12:00 - 13:00,22,µg/m³
PM2.5,2024-02-11,13:00 - 14:00,22,µg/m³
PM2.5,2024-02-11,14:00 - 15:00,22,µg/m³
PM2.5,2024-02-11,15:00 - 16:00,22,µg/m³
PM2.5,2024-02-11,16:00 - 17:00,25,µg/m³
PM2.5,2024-02-11,17:00 - 18:00,25,µg/m³
PM2.5,2024-02-11,18:00 - 19:00,31,µg/m³
PM2.5,2024-02-11,19:00 - 20:00,31,µg/m³
PM2.5,2024-02-11,20:00 - 21:00,29,µg/m³
PM2.5,2024-02-11,21:00 - 22:00,29,µg/m³
PM2.5,2024-02-11,22:00 - 23:00,28,µg/m³
PM2.5,2024-02-12,5:00 - 6:00,26,µg/m³
PM2.5,2024-02-12,6:00 - 7:00,24,µg/m³
PM2.5,2024-02-12,7:00 - 8:00,17,µg/m³
PM2.5,2024-02-12,8:00 - 9:00,11,µg/m³
PM2.5,2024-02-12,10:00 - 11:00,12,µg/m³
PM2.5,2024-02-12,11:00 - 12:00,10,µg/m³
PM2.5,2024-02-12,12:00 - 13:00,10,µg/m³
PM2.5,2024-02-12,13:00 - 14:00,7,µg/m³
PM2.5,2024-02-12,14:00 - 15:00,7,µg/m³
PM2.5,2024-02-12,15:00 - 16:00,12,µg/m³
PM2.5,2024-02-12,16:00 - 17:00,15,µg/m³
PM2.5,2024-02-12,17:00 - 18:00,13,µg/m³
PM2.5,2024-02-12,18:00 - 19:00,8,µg/m³
PM2.5,2024-02-12,19:00 - 20:00,9,µg/m³
PM2.5,2024-02-12,20:00 - 21:00,8,µg/m³
PM2.5,2024-02-12,21:00 - 22:00,5,µg/m³
PM2.5,2024-02-12,22:00 - 23:00,4,µg/m³
PM2.5,2024-02-13,23:00 - 0:00,4,µg/m³
PM2.5,2024-02-13,0:00 - 1:00,4,µg/m³
PM2.5,2024-02-13,1:00 - 2:00,4,µg/m³
PM2.5,2024-02-13,2:00 - 3:00,3,µg/m³
PM2.5,2024-02-13,3:00 - 4:00,4,µg/m³
PM2.5,2024-02-13,6:00 - 7:00,7,µg/m³
PM2.5,2024-02-13,7:00 - 8:00,6,µg/m³
PM2.5,2024-02-13,8:00 - 9:00,6,µg/m³
PM2.5,2024-02-13,9:00 - 10:00,7,µg/m³
PM2.5,2024-02-13,10:00 - 11:00,9,µg/m³
PM2.5,2024-02-13,11:00 - 12:00,8,µg/m³
PM2.5,2024-02-13,12:00 - 13:00,9,µg/m³
PM2.5,2024-02-13,13:00 - 14:00,8,µg/m³
PM2.5,2024-02-13,14:00 - 15:00,8,µg/m³
PM2.5,2024-02-13,15:00 - 16:00,7,µg/m³
PM2.5,2024-02-13,16:00 - 17:00,9,µg/m³
PM2.5,2024-02-13,17:00 - 18:00,7,µg/m³
PM2.5,2024-02-13,18:00 - 19:00,6,µg/m³
PM2.5,2024-02-13,19:00 - 20:00,4,µg/m³
PM2.5,2024-02-13,20:00 - 21:00,4,µg/m³
PM2.5,2024-02-13,21:00 - 22:00,3,µg/m³
PM2.5,2024-02-13,22:00 - 23:00,4,µg/m³
