Parametro,Fecha,Hora,Concentraciones horarias,Unidad
PM10,24/01/2024,12:00 - 13:00,49,µg/m³
PM10,24/01/2024,13:00 - 14:00,54,µg/m³
PM10,24/01/2024,14:00 - 15:00,49,µg/m³
PM10,24/01/2024,15:00 - 16:00,46,µg/m³
PM10,24/01/2024,16:00 - 17:00,57,µg/m³
PM10,24/01/2024,17:00 - 18:00,57,µg/m³
PM10,24/01/2024,18:00 - 19:00,49,µg/m³
PM10,24/01/2024,19:00 - 20:00,50,µg/m³
PM10,24/01/2024,20:00 - 21:00,40,µg/m³
PM10,24/01/2024,21:00 - 22:00,39,µg/m³
PM10,24/01/2024,22:00 - 23:00,36,µg/m³
PM10,25/01/2024,23:00 - 0:00,39,µg/m³
PM10,25/01/2024,0:00 - 1:00,40,µg/m³
PM10,25/01/2024,1:00 - 2:00,29,µg/m³
